,prov,soum,year,var,sd,mean,m
73,Töv,Bayanch,2019,cover,3.460234239,75.48394853,0.778697431
74,Töv,Bayanch,2019,ht,0.984269913,10.48185681,0.719038285
75,Töv,Bayanch,2019,vol,4.349289606,31.62980025,0.734752396
76,Töv,Bayand,2019,cover,3.315380143,72.77146702,0.820060788
77,Töv,Bayand,2019,ht,1.002542121,9.965020753,0.775290805
78,Töv,Bayand,2019,vol,4.048778126,29.0546553,0.78420819
79,Töv,Bayanj,2019,cover,3.677363774,71.94606824,0.886077284
80,Töv,Bayanj,2019,ht,1.087410828,9.238624148,0.843520469
81,Töv,Bayanj,2019,vol,4.350955748,26.72127809,0.86721093
82,Töv,Bayankh,2019,cover,3.61273721,72.27553358,0.810041972
83,Töv,Bayankh,2019,ht,1.110405481,9.553395973,0.774831058
84,Töv,Bayankh,2019,vol,4.4074225,27.63825137,0.784905298
85,Töv,Bayant,2019,cover,4.883129063,66.75984796,0.905412695
86,Töv,Bayant,2019,ht,1.131895347,7.954071773,0.860479808
87,Töv,Bayant,2019,vol,4.555949149,21.42425451,0.876574358
88,Töv,Bayantsogt,2019,cover,3.901417477,73.65093789,0.818228106
89,Töv,Bayantsogt,2019,ht,1.13409562,9.956356807,0.75851531
90,Töv,Bayantsogt,2019,vol,4.739522571,29.39592756,0.772543189
91,Töv,Bornuur,2019,cover,4.260103201,75.88913348,0.851656478
92,Töv,Bornuur,2019,ht,1.149348531,10.87174325,0.74988927
93,Töv,Bornuur,2019,vol,5.246580448,33.00492505,0.775506994
94,Töv,Buren,2019,cover,5.372539105,70.34211792,0.884345903
95,Töv,Buren,2019,ht,1.463598502,8.839145892,0.853377929
96,Töv,Buren,2019,vol,5.97522469,25.14480148,0.862066617
97,Töv,Delger,2019,cover,5.333729756,65.94758712,0.873751442
98,Töv,Delger,2019,ht,1.064156644,7.771875976,0.811595714
99,Töv,Delger,2019,vol,4.43697942,20.68340724,0.834145918
100,Töv,Erdene,2019,cover,5.054958653,74.87980019,0.757676746
101,Töv,Erdene,2019,ht,1.468042144,10.45486345,0.707002591
102,Töv,Erdene,2019,vol,6.325257282,31.46894741,0.712159065
103,Töv,Erdenesant,2019,cover,4.034272913,72.68475727,0.840461056
104,Töv,Erdenesant,2019,ht,1.188292059,9.659469764,0.791258284
105,Töv,Erdenesant,2019,vol,4.791652499,28.20904121,0.806053735
106,Töv,Jargalant,2019,cover,3.675419298,75.82848049,0.814481864
107,Töv,Jargalant,2019,ht,1.067532738,10.60992477,0.737329645
108,Töv,Jargalant,2019,vol,4.70903423,32.14585126,0.750601421
109,Töv,Lun,2019,cover,4.480369485,71.91694164,0.855452174
